id,fecha_hora,fase,material_real,objeto,clase_dataset,proveedor_vision,modelo,iluminacion,fondo,distancia_cm,angulo,resultado_foto_1,resultado_foto_2,resultado_foto_3,resultado_final,confianza,latencia_segundos,correcto,observaciones
1,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,
